Year;Date;Authors;Title;Domain;n Sources;Citation;RQ1;RQ2;RQ3;Survey;Data Elements;Data Category;Data Parent;Authors' Data Category;Modeling Approaches;Data Source;Data Source Category (Systems);Collection Methods;Category (Method);Init Data Source;Init Data Source Category (Systems);Init Collection Methods;Init Category (Method);Modelling Technique;Forgetting
2023;29/05/23;Hu, Pan;Investigation on Smart Campus Management Platform Based on Digital Twin;higher education;20;0;Yes;Yes;No;No;"personal information; behavior";"demographic & biographic data; (learning) behaviour data;";"master data; (learning) output data;";---;---;"system;";"other;";"automated collection; third-party reporting;";"implicit;";---;---;---;---;---;---
2023;20/05/23;Rahman, Mohammad Mustaneer and Salem, Hassan A. Al and Yeom, Soonja and Ollington, Nadia and Ollington, Robert and Rahman, Md. Mujibur;A Preliminary Study on Learners’ Personal Traits for Modelling Learner Profiles in ITS: A Sensor-free Approach;not specified ;60;0;Yes;Yes;No;Yes;"cognitive style; learning style; cognitive ability; intelligent level; prior knowledge; behaviour; physical movement; motor skills";"personal traits; (learning) behaviour data; psychomotor data;";"cognitive characteristics; master data; (learning) output data; psychomotor & physiological data;";cognition, affective, behaviour or psychomotor;---;---;---;---;---;---;---;---;---;---;---
2023;15/05/23;Martynov, Vitaly Vladimirovich and Filosova, Elena I. and Zvereva, Nina N.;Computer Technologies for Modeling the Competencies of Employees of Industrial Enterprises as Part of a Digital Twin of a Person;adult learning;13;0;Yes;Yes;Yes;No;"psychometrics; personal data; knowledge; social data; movements; behavior; interests; relationships; government data; open data";"physiological data; demographic & biographic data; social content data; psychomotor data; (learning) behaviour data; personal traits; interaction data;";"psychomotor & physiological data; master data; cognitive characteristics; (social) interaction data; (learning) output data;";---;---;"sensors & wearables; external source;";---;"automated collection; third-party reporting;";"implicit;";---;---;---;---;"clustering; classification;";knowledge (what we forget), the loss of skills (what we lose without practicing) has to be considered
2023;05/05/23;Lin, Longcheng and Wang, Fang and Wang, Fangfang;Research on Learning Resource Recommendation Based on Learner Model;not specified ;11;0;Yes;Yes;No;No;"personal characteristics; knowledge; personal data; learning style; cognitive level;interest; click through rate; stay time; completion rate";"demographic & biographic data; personal traits; (learning) behaviour data;  resource / assessment data;";"cognitive characteristics; master data; (learning) output data;";---;---;"assessment; system;";"personalized learning environment / recommender system;";"assessment-based;";"hybrid;";---;---;---;---;"clustering; classification;";---
2023;19/04/23;Gautam, Sanjana and Rosson, Mary Beth and Akgun, Mahir;Exploring Potential Contributions of Social Learning to Adaptive Learning Systems;higher education;37;0;Yes;Yes;No;No;"social context; interactions; social behaviors; successes; confidence";"contextual data; interaction data; social content data; (learning) behaviour data;";"(system) environmental data; (social) interaction data; (learning) output data;";---;---;"self-report; observation source; assessment;";---;"self-reporting; observation; assessment-based;";"explicit;";---;---;---;---;---;---
2023;05/04/23;Dijkstra, S. H. E. and Hinne, Max and Segers, Eliane and Molenaar, Inge;Clustering children's learning behaviour to identify self-regulated learning support needs;school;40;6;Yes;Yes;No;No;"knowledge; ability level";---;"cognitive characteristics;";---;---;"assessment; system;";"adaptive learning system;";"automated collection; assessment-based;";"hybrid;";"assessment;";---;"assessment-based;";"explicit;";"clustering; predictive modeling;";---
2023;03/04/23;Liu, Qi and Wu, Jinze and Huang, Zhenya and Wang, Hao and Ning, Yuting and Chen, Ming and Chen, Enhong and Yi, Jinfeng and Zhou, Bowen;Federated User Modeling from Hierarchical Information;not specified;110;3;Yes;Yes;No;No;"personal information; interaction; preference information";"demographic & biographic data; interaction data; personal traits;";"master data; (social) interaction data;";public components & private components;---;"system; external source; assessment;";"personalized learning environment / recommender system;";"automated collection; assessment-based; third-party reporting;";"hybrid;";---;---;---;---;"predictive modeling;";---
2023;23/01/23;Ganesan, Swathi and Somasiri, Nalinda and Pokhrel, Sangita;The Role of Artificial Intelligence in Education;higher education;10;2;Yes;Yes;No;No;"knowledge; background information; expectations";"academic / educational data;";"cognitive characteristics; master data; affective & motivational characteristics;";---;"- „user knowledge“ in „MBase“ (= mathematical knowledge base)
- ontology";"system; third party; assessment; external source;";"intelligent tutor system;";"assessment-based; automated collection;";"hybrid;";"system; external source; third party;";"intelligent tutor system;";"self-reporting; third-party reporting; automated collection;";"hybrid;";---;---
2023;01/12/22;Thohiroh, Elvira Lailatuth and Nurjanah, Dade;SmartMe: An Open Social Learner Model and Case Example Recommender;higher education;15;0;Yes;Yes;No;No;knowledge;---;"cognitive characteristics;";---;---;"system; assessment;";"personalized learning environment / recommender system;";"assessment-based; self-reporting;";"explicit;";"assessment;";---;"assessment-based;";"explicit;";---;---
2022;18/11/22;Bernard, Jason and Popescu, Elvira and Graf, Sabine;Improving online education through automatic learning style identification using a multi-step architecture with ant colony system and artificial neural networks;not specified;64;10;Yes;Yes;No;No;"learning styles; behavior patterns";"personal traits; (learning) behaviour data; psychomotor data;";"master data; (learning) output data; psychomotor & physiological data;";---;---;"system; assessment; self-report;";"other;";"automated collection; self-reporting; assessment-based;";"hybrid;";---;---;---;---;"predictive modeling; classification;";---
2022;28/10/22;Sun, Hongtao and Zheng, Qinhua and Zhang, Hengguo and Pan, Huiyao;Learner Modeling Framework Based on Learning Analytics;not specified;22;2;Yes;Yes;No;No;"Degree of collaboration; Task engagement; Quality of results";"interaction data;  resource / assessment data;";"(social) interaction data; affective & motivational characteristics; (learning) output data;";access to preset resources, generative resources, communication and interaction, task participation, and task quality;---;"system; assessment;";"other;";"automated collection; assessment-based;";"hybrid;";"third party; external source;";---;"third-party reporting;";"explicit;";---;---
2022;23/09/22;Sun, Hongtao and Huang, Luoying and Chen, Zhongjian and Zheng, Qinhua;Research on collaborative filtering recommendation method of online learning resources based on learner model;vocational training;25;1;Yes;No;No;No;"user needs; preferences; previous academic information; interest; learning path; interaction; assignments; basic information; learner relationship; learning preference; learning performance";"personal traits; academic / educational data; (learning) behaviour data; interaction data;  resource / assessment data;";"master data; (learning) output data; (social) interaction data;";---;---;---;---;---;---;---;---;---;---;---;---
2022;07/09/22;Oeda, Shinichi and Kakizaki, Toma;Latent State Estimation Method for Students Using Knowledge Tracing Combining with IRT;not specified ;9;0;Yes;Yes;No;No;knowledge;---;"cognitive characteristics;";---;"- estimating learners’ latent states using a model that combines knowledge tracing[2]
- IRT (Item Response Theory)[3]";"system; assessment;";"intelligent tutor system;";"assessment-based; automated collection;";"hybrid;";---;---;---;---;"predictive modeling;";---
2022;24/08/22;Pucheta, Héctor Miguel Figueroa and Morales, Viviana Yarel Rosales and Velázquez, Yesenia Hernández;User Modeling for Collaborative Adaptative Mobile Educational Applications: A Systematic Review of the Literature;higher education;13;0;Yes;Yes;No;Yes;"Meta cognitive ability; Preferences; Expectations; Motivation; knowledge; experience; Learning style; cognitive style; Affective state; emotion; demographic";"personal traits; academic / educational data; demographic & biographic data;";"cognitive characteristics; master data; affective & motivational characteristics;";---;"- Structural modeling
     - Vector of features
     - Stereotypes
- Behavior modeling
     - Classification systems
     - Semantic technologies";---;---;---;---;---;---;---;---;---;---
2022;17/08/22;Chrysafiadi, Konstantina and Papadimitriou, Spyros and Virvou, Maria;Cognitive-based adaptive scenarios in educational games using fuzzy reasoning;not specified ;46;19;No;No;No;No;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
2022;09/08/22;Yang, Lina and Yu, Yawen and Wei, Yonghong;Data-Driven Artificial Intelligence Recommendation Mechanism in Online Learning Resources;not specified ;14;4;Yes;Yes;No;No;"preference; learning resource; behavior; learning context; learner attributes; context perceptions; socialization processes";"personal traits;  resource / assessment data; (learning) behaviour data; contextual data; demographic & biographic data; social content data; interaction data;";"master data; (learning) output data; (system) environmental data; (social) interaction data;";---;---;"system; sensors & wearables; assessment;";"personalized learning environment / recommender system;";"assessment-based; automated collection;";"hybrid;";"self-report;";---;"self-reporting;";"explicit;";"predictive modeling; ontology;";---
2022;30/06/22;Pustovalova, Natalya V. and Avdeenko, Tatiana V. and Pustovalova, Alexandra V.;University’s Educational Environment Personalization Based on the Ontological Models;higher education;19;3;Yes;Yes;No;No;"academic performance; academic achievement; motivational characteristics; cognitive; personality; motivational";"academic / educational data; personal traits;";"master data; affective & motivational characteristics; cognitive characteristics;";---;---;---;---;---;---;"self-report; external source; assessment;";;"self-reporting; assessment-based;";"explicit;";"ontology;";---
2022;23/05/22;Khosravi, Hassan and Shum, Simon Buckingham and Chen, Guanliang and Conati, Cristina and Tsai, Yi-Shan and Kay, Judy and Knight, Simon and Martinez-Maldonado, Roberto and Sadiq, Shazia and Gašević, Dragan;Explainable Artificial Intelligence in education;not specified ;164;289;Yes;Yes;No;Yes;"demographic attributes; performance; progress; competence; learning behaviours; activity logs; physiological data";"demographic & biographic data;  resource / assessment data; (learning) behaviour data; technical usage data; physiological data;";"master data; (learning) output data; cognitive characteristics; (system) environmental data; psychomotor & physiological data;";---;---;---;---;---;---;---;---;---;---;---;---
2022;18/05/22;Bellarhmouch, Youssra and Jeghal, Adil and Benjelloun, Nadia and Tairi, Hamid;Overview of personalization approaches in MOOCs;not specified ;39;0;Yes;Yes;No;Yes;"Emotion; Activity Plan; Motivation; Learning Outcome; Learning preferences; Learning style; Characteristics of the learner; Course characteristics; User behavior; Personality";"(learning) behaviour data;  resource / assessment data; personal traits; demographic & biographic data;";"affective & motivational characteristics; (learning) output data; master data;";---;---;---;---;---;---;---;---;---;---;---;---
2022;10/05/22;Kay, Judy and Bartimote, Kathryn and Kitto, Kirsty and Kummerfeld, Bob and Liu, Danny and Reimann, Peter;Enhancing learning by Open Learner Model (OLM) driven data design;not specified ;97;28;Yes;Yes;No;No;"knowledge; metacognition; affect; cognitive model";---;"cognitive characteristics; metacognitive characteristics; affective & motivational characteristics;";---;---;"assessment; external source; third party; observation source;";---;"automated collection; third-party reporting; observation; assessment-based;";"hybrid;";---;---;---;---;"ontology; cognitive theories;";---
2022;29/04/22;Kaliwal, Rohit B. and Deshpande, Santosh L.;Chapter 16 - Evaluate learner level assessment in intelligent e-learning systems using probabilistic network model;not specified ;14;1;Yes;Yes;No;No;"knowledge; behavior model; level of competence; specific needs";"(learning) behaviour data; academic / educational data; personal traits;";"cognitive characteristics; (learning) output data; master data;";---;- overlay model;"system; assessment;";"intelligent tutor system;";"assessment-based; automated collection;";"hybrid;";---;---;---;---;"uncertainty modeling; ";---
2022;22/04/22;Alatrash, Rawaa and Priyadarshini, Rojalina and Ezaldeen, Hadi and Alhinnawi, Akram;A Hybrid Recommendation Integrating Semantic Learner Modelling and Sentiment Multi-Classification;not specified ;55;6;Yes;Yes;No;No;"learner’s preferences; interests";"personal traits;";"master data;";---;---;"system;";"learning management system / virtual learning environment;";"automated collection;";"implicit;";---;---;---;---;"predictive modeling;";---
2022;16/04/22;Ezaldeen, Hadi and Bisoy, Sukant Kishoro and Misra, Rachita and Alatrash, Rawaa;Semantics-Aware Context-Based Learner Modelling Using Normalized PSO for Personalized E-Learning;not specified ;32;7;Yes;Yes;No;No;---;---;---;---;---;"system;";"personalized learning environment / recommender system;";"automated collection;";"implicit;";"self-report; system;";"personalized learning environment / recommender system;";"self-reporting; automated collection;";"hybrid;";"predictive modeling; ontology;";---
2022;30/03/22;Liang, Jing and Hare, Ryan and Chang, Tianyu and Xu, Fangli and Tang, Ying and Wang, Fei-Yue and Peng, Shimeng and Lei, Mingyu;Student Modeling and Analysis in Adaptive Instructional Systems;not specified ;98;13;Yes;Yes;Yes;Yes;"performance; skills; knowledge state; cognitive state; engagement level; learning styles; cultural; behavior; misconceptions; emotional state; learning environment; emotions; attention levels; interaction; user records; brainwave data; webcam data";"resource / assessment data; academic / educational data; personal traits; contextual data; (learning) behaviour data; technical usage data; interaction data; physiological data; psychomotor data;";"(learning) output data; cognitive characteristics; master data; affective & motivational characteristics; (system) environmental data; (social) interaction data; psychomotor & physiological data;";---;"- „quantitatively as a probability [12]“
- „qualitatively using fuzzy logic“ [13]
- hybrid approaches -> „clustering [14], stereotypes [15], and ontology [16]“
- „augmenting an overlay model with fuzzy logic [13], [25], [26]“
- „constraint-based models (CBMs) to compensate for the deficiency [30], [31].“
- „[33], where a comprehensive student model built on CBM, fuzzy logic, and overlay was proposed.“";---;---;---;---;---;---;---;---;---;"""Similarly, Qiu et al., (2011) introduced a new type of time node to model the time effects on students forgetting previously learned materials and/or making mistakes [37]."""
2022;07/02/22;Sein Minn;AI-assisted knowledge assessment techniques for adaptive learning environments;not specified ;102;72;No;Yes;No;Yes;---;---;---;---;---;---;---;---;---;---;---;---;---;---;---
2022;13/01/22;Rahayu, Nur Wijayaning and Ferdiana, Ridi and Kusumawardani, Sri Suning;A systematic review of ontology use in E-Learning recommender system;not specified ;88;95;Yes;No;No;Yes;"personal data; learning performance; learning progress; IEEE Public and Private Information (PAPI); IMS 1 Learner Information Package (LIP); learning styles; knowledge; socio-technical context";"demographic & biographic data;  resource / assessment data; (learning) behaviour data; personal traits; contextual data;";"master data; (learning) output data; cognitive characteristics; (system) environmental data;";---;- Ontology;---;---;---;---;---;---;---;---;---;---
2021;16/12/21;Tang, Qing and Abel, Marie-Hélène and Negre, Elsa;Improve Learner-based Recommender System with Learner’s Mood in Online Learning Platform;not specified ;42;1;Yes;No;No;No;"interactions; cognitive trait; knowledge; learning style; learning preference; behavior; skill; ability; competency; mood state; concentration; basic information; Comprehension; Analyzing & Reasoning; Creation; Engineering; Collaboration; Communication";"interaction data; personal traits; (learning) behaviour data; social content data;";"(social) interaction data; cognitive characteristics; master data; (learning) output data; affective & motivational characteristics;";---;---;---;---;---;---;---;---;---;---;---;---
2021;29/10/21;Tetzlaff, Leonard and Schmiedek, Florian and Brod, Garvin;Developing personalized education. A dynamic framework;not specified ;84;142;Yes;No;No;No;"Learning Style; personalization information; media preferences; knowledge; motivation; metacognitive skills; current affect; eye-tracking";"personal traits; demographic & biographic data; physiological data;";"master data; cognitive characteristics; affective & motivational characteristics; metacognitive characteristics; psychomotor & physiological data;";---;---;---;---;---;---;---;---;---;---;---;---
2021;27/10/21;Gasmi, Sara and Bouhadada, Tahar and Kamilya, Laib;Recommendation of learning resources in social learning environment using data mining;not specified ;18;1;Yes;Yes;No;No;"needs; interests; learning styles; choices; preferences; strategies; psychological problems; activities; cognitive profile; knowledge";"personal traits; physiological data; (learning) behaviour data;";"master data; cognitive characteristics; psychomotor & physiological data; (learning) output data;";---;---;"system;";"collaborative learning environment;";"automated collection;";"implicit;



";"self-report;";---;"self-reporting;";"explicit;";"clustering;";---
2021;13/10/21;Almeida, Thais Oliveira and De Magalhães Netto, José Francisco and Lopes, Arcanjo Miguel Mota;Multi-Agent System for Recommending Learning Objects in E-Learning Environments;not specified ;11;1;Yes;Yes;No;No;"human behavior; beliefs; desires; intentions";"(learning) behaviour data; interaction data; personal traits;";"(learning) output data; (social) interaction data; cognitive characteristics; affective & motivational characteristics; master data;";---;---;"system; sensors & wearables;";"learning management system / virtual learning environment;";"automated collection;";"implicit;



";---;---;---;---;"predictive modeling; uncertainty modeling;";---
2021;13/10/21;Almeida, Thais Oliveira and de Magalhães Netto, José Francisco and Lopes, Arcanjo Miguel Mota;Recommendation Model of Personalized Teaching Materials in E-Learning Environments;not specified ;21;0;Yes;Yes;No;No;"learning styles; preferences; demographic data; history; individual needs; personal information; navigation; test results history";"personal traits; demographic & biographic data; technical usage data; (learning) behaviour data; academic / educational data;";"master data; (system) environmental data; (learning) output data;";---;---;"system; assessment;";"learning management system / virtual learning environment; personalized learning environment / recommender system;";"assessment-based; automated collection;";"hybrid;";"self-report;";---;"self-reporting;";"explicit;";"predictive modeling; clustering; cognitive theories;";---
2021;13/10/21;Lei, Philip I.S. and Mendes, António José;A systematic literature review on knowledge tracing in learning programming;higher education;36;6;Yes;Yes;No;Yes;"behavior data; demographic data; academic performance; knowledge";"(learning) behaviour data; interaction data; demographic & biographic data;  resource / assessment data;";"(learning) output data; (social) interaction data; master data; cognitive characteristics;";---;"- „Common models employed in the literature include probabilistic, statistical and artificial neural network models.“
- „[17], the authors formalized the knowledge model as a Fuzzy Cognitive Map of KCs, and defined fuzzy logic rules to update the knowledge levels in the student model“
- „Bayesian Knowledge Tracing (BKT)“
    => „using a Hidden Markov Model (HMM)“
    
- „Dynamic Bayesian Network (DBN)“
    
- „Additive Factor Model (AFM)“
    
- „stereotypes using demographics“
    
- „extension of AFM called Performance Factor Analysis [31]“
    
- „Deep Knowledge Tracing (DKT)“
    => „By treating knowledge tracing as a sequence prediction problem, Piech et al. [32] proposed Deep Knowledge Tracing and its two formulations (exercise-indexed and skill-indexed). Skill-indexed DKT employs Long Short-Term Memory (LSTM) recurrent neural networks [33] to predict whether a student can answer an exercise correctly based on the input sequence of the KCs covered and the correctness of answers in previous attempted exercises. As such, DKT builds a single model for all KCs, whereas BKT builds separate model for each KC.“";---;---;---;---;---;---;---;---;---;---
2021;08/09/21;Oeda, Shinichi and Shimizu, Daiki;Verification of Usefulness of Student Modeling with Real Educational Data using Convex Factorization Machines;not specified ;14;2;Yes;Yes;Yes;No;"learning items; skills; pre learing items; pre skills";"resource / assessment data;";"(learning) output data; cognitive characteristics;";---;---;"system; assessment;";"intelligent tutor system;";"assessment-based; automated collection;";"hybrid;";---;---;---;---;"predictive modeling;";consider time that has passed meanwhile (the longer the lower the expectations)
2021;17/08/21;Zhao, Xiangmei;Research on learner model of adaptive learning system;not specified ;5;3;Yes;Yes;No;No;"celts-11 learner model; basic information; learning behavior; personal information; demographic characteristics; learning style; cognitive level; academic emotion";"personal traits; (learning) behaviour data; demographic & biographic data;";"master data; (learning) output data; cognitive characteristics; affective & motivational characteristics;";---;---;"system;";"adaptive learning system;";"automated collection;";"implicit;



";"system;";"adaptive learning system;";"automated collection;";"implicit;";"overlay modeling; cognitive theories; clustering;";---
2021;06/08/21;Lwande, Charles and Muchemi, Lawrence and Oboko, Robert;Identifying learning styles and cognitive traits in a learning management system;higher education;41;85;Yes;Yes;No;No;"log data; learner behavior";"technical usage data; (learning) behaviour data;";"(system) environmental data; (learning) output data;";---;---;"system; assessment;";"learning management system / virtual learning environment;";"automated collection;";"implicit;



";---;---;---;---;"classification; predictive modeling;";---
2021;01/07/21;AL-Chalabi, Humam K. Majeed and Hussein, Aqueel M. Ali and Apoki, Ufuoma Chima;An Adaptive Learning System Based on Learner’s Knowledge Level;higher education;19;8;Yes;Yes;No;No;"knowledge level; experience; background; previous courses; educational performance; goals; interests";"academic / educational data; demographic & biographic data;  resource / assessment data; personal traits;";"cognitive characteristics; master data; (learning) output data;";---;---;"system; assessment;";"adaptive learning system;";"assessment-based; automated collection;";"hybrid;";"self-report; assessment;";---;"self-reporting; assessment-based;";"explicit;";"classification;";---
2021;18/06/21;Wang, Shu and Yuan, Linyun and Yang, Hongzhi;User Model Construction of Chinese Learners Based on Learning Style;school;12;2;Yes;Yes;Yes;No;"cognitive level; learning style; Basic information; Knowledge level; behavior";"personal traits; (learning) behaviour data;";"cognitive characteristics; master data; (learning) output data;";---;- „fuzzy sets“;"system; assessment;";"personalized learning environment / recommender system;";"automated collection; assessment-based;";"hybrid;";"self-report; assessment; system;";"personalized learning environment / recommender system;";"self-reporting; automated collection;";"hybrid;";---;mastery is 0 can mean not learned or forgotten
2021;12/04/21;Abdi, Solmaz and Khosravi, Hassan and Sadiq, Shazia;Modelling Learners in Adaptive Educational Systems: A Multivariate Glicko-Based Approach;not specified ;29;13;Yes;Yes;Yes;No;knowledge;---;"cognitive characteristics;";---;- overlay model;"system; assessment;";"adaptive learning system;";"assessment-based; automated collection;";"hybrid;";"system;";"adaptive learning system;";"automated collection;";"implicit;";"overlay modeling; predictive modeling;";considers lag time modelled as confidence parameter
2021;05/03/21;Li, Xiaoying and He, Shouwu;Research and Analysis of Student Portrait Based on Campus Big Data;higher education;10;11;Yes;Yes;No;No;"behavior data; basic information; learning ability; consumption level; daily habits; interest preference; curriculum information";"(learning) behaviour data; interaction data; personal traits; academic / educational data;  resource / assessment data;";"(learning) output data; (social) interaction data; master data; cognitive characteristics;";---;---;"system; external source; assessment;";"other;";"third-party reporting;";"implicit;



";---;---;---;---;"clustering;";---
2021;03/02/21;Miraz, Mahdi H. and Ali, Maaruf and Excell, Peter S.;Adaptive user interfaces and universal usability through plasticity of user interface design;not specified ;172;98;Yes;Yes;No;Yes;"Personality Traits; Vocational Interests; Perceptual Style; Vocational Aptitude; Computer Experience and Application Experience; Psychological; Physical Human Characteristics; Cognitive Human Characteristics; users’ background; goals; competency; cultural-linguistic heritage; cognitive behaviour";"personal traits; academic / educational data; physiological data; psychomotor data; demographic & biographic data;";"master data; cognitive characteristics; psychomotor & physiological data;";---;---;---;---;---;---;---;---;---;---;---;---
2020;29/12/20;Vo, Duc-Vinh and Karnjana, Jessada and Huynh, Van-Nam;An integrated framework of learning and evidential reasoning for user profiling using short texts;not specified ;68;12;Yes;Yes;No;No;"knowledge; demographic traits; geographical location; user intentions";"demographic & biographic data; contextual data;";"cognitive characteristics; master data; (system) environmental data; affective & motivational characteristics;";---;---;---;---;---;---;"external source; system;";"social media;";"automated collection; third-party reporting;";"implicit;";"clustering; predictive modeling; uncertainty modeling; ";---
2020;15/12/20;Chrysafiadi, Konstantina and Troussas, Christos and Virvou, Maria;Combination of fuzzy and cognitive theories for adaptive e-assessment;higher education;37;30;Yes;Yes;No;No;"age; knowledge level; error categories";"demographic & biographic data; (learning) behaviour data;";"master data; cognitive characteristics; (learning) output data;";---;- „fuzzy sets“;"system; assessment;";"adaptive learning system;";"automated collection;";"implicit;



";"self-report; third party;";---;---;---;"uncertainty modeling; cognitive theories;";---
2020;03/12/20;Jing, Sifeng and Tang, Ying and Liu, Xiwei and Gong, Xiaoyan;A Learner Model Integrating Cognitive and Metacognitive And Its Application on Scratch Programming Projects;school;28;22;Yes;Yes;No;No;"knowledge level; assessment data; log files; data of learner learning video; learner attention detection";"resource / assessment data; technical usage data; (learning) behaviour data;";"cognitive characteristics; (learning) output data; (system) environmental data;";---;---;"system; sensors & wearables; assessment; observation source;";"other;";"automated collection; observation; assessment-based;";"hybrid;";---;---;---;---;"cognitive theories; predictive modeling;";---
2020;30/10/20;Jing, Sifeng and Tang, Ying and Liu, Xiwei and Gong, Xiaoyan and Cui, Wei and Liang, Joleen;A Parallel Education Based Intelligent Tutoring Systems Framework;not specified ;73;6;No;Yes;No;No;---;---;---;---;---;"system; external source;";"intelligent tutor system; other;";"automated collection; third-party reporting;";"implicit;



";---;---;---;---;---;---
2020;24/10/20;Luxing, Lin;Student Aesthetic Education Recommendation App Based on Interest;school;5;1;Yes;Yes;No;No;"Basic Information; Knowledge; Usertype";"personal traits; identification data;";"master data; cognitive characteristics;";---;---;"system;";"personalized learning environment / recommender system;";"automated collection;";"implicit;



";---;---;---;---;"predictive modeling; classification;";---
2020;11/10/20;Tang, Qing and Abel, Marie-Hélène and Negre, Elsa;Towards the Privacy-Preserving of Online Recommender System in Collaborative Learning Environment;not specified ;28;0;Yes;Yes;No;No;"learner’s degree; language level; learner’s basic knowledge level; learner’s contribution; learner’s credibility; learner’s competency";"academic / educational data; demographic & biographic data; social content data;";"master data; cognitive characteristics; (social) interaction data;";---;---;"system;";"collaborative learning environment;";"automated collection;";"implicit;



";---;---;---;---;"predictive modeling; clustering;";---
