"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Open Group-Sourcing: A Social Learning Model Based on Peer Production and Feedback","L. Moccozet; C. Tardy","Computer Science Centre, University of Geneva Geneva, Switzerland; Computer Science Centre, University of Geneva Geneva, Switzerland","2014 Eighth International Conference on Complex, Intelligent and Software Intensive Systems","2 Oct 2014","2014","","","491","497","Learning Management Systems (LMSs) are widely deployed nowadays in higher education institutions. They are mainly designed for formal and instructivist transmission models of learning. We propose a design for a hybrid institutional learning platform that suitably supports the simultaneous coexistence of formal/informal and instructivist/self-regulated learning. The design relies on a social collaborative learning pattern, open group-sourcing, based on peer production and feedback. To match peers' interactions with learners' skills, we align the visitor/resident learner model with the weighted peer production model. In this paper, we describe the different concepts that motivate our model and how it is concretely realized as a learning platform. We finally illustrate the whole with some of experiments and tests.","","978-1-4799-4325-8","10.1109/CISIS.2014.70","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915562","community;crowdsourcing;group-sourcing;peer feedback;personal learning environment;self-regulated learning;social learning;social media","Production;Collaboration;Communities;Education;Context;Media;Crowdsourcing","","","","49","IEEE","2 Oct 2014","","","IEEE","IEEE Conferences"
"Adaptivity in E-Learning Systems","M. Alshammari; R. Anane; R. J. Hendley","School of Computer Science, University of Birmingham; Faculty of Engineering and Computing, Coventry University; School of Computer Science, University of Birmingham","2014 Eighth International Conference on Complex, Intelligent and Software Intensive Systems","2 Oct 2014","2014","","","79","86","Traditional e-learning systems have been, typically, designed for a generic learner, irrespective of individual knowledge, skills and learning styles. In contrast, adaptive e-learning systems can enhance learning by taking into account different learner characteristics and by personalising learning material. Although a large number of systems incorporating learning style have been deployed, there is a lack of comprehensive, comparative evaluations. This paper attempts to bridge this gap by comparing a number of adaptive e-learning systems. It considers three main perspectives: the learner model, the domain model and the adaptation model. A set of criteria is generated for each perspective, and applied to a representative sample of adaptive e-learning systems.","","978-1-4799-4325-8","10.1109/CISIS.2014.12","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6915500","learning technologies;learning style;learner model;domain model;adaptation model;adaptive e-learning systems","Adaptation models;Data models;Adaptive systems;Materials;Electronic learning;Standards;Navigation","","27","","60","IEEE","2 Oct 2014","","","IEEE","IEEE Conferences"
"Enrichment of learner profile through the semantic analysis of the learner's query on the Web","S. Ait Adda; B. Amar","ESI Ouad Smar, National High School of Computer, Algiers, Algeria; ESI Ouad Smar, National High School of Computer, Algiers, Algeria","Fourth edition of the International Conference on the Innovative Computing Technology (INTECH 2014)","20 Oct 2014","2014","","","7","12","The learning systems are designed for learning about a particular area. Then, it is usually necessary to know the state of knowledge of the learner on a domain before customizing or adapting the learning process. In this paper, we are interested in the semantic analysis of the learner's query put on the WEB by using the domain ontology. The purpose of this analysis is to identify the concepts of domain that are most asked on the Web and to keep them into the learner's model as concepts not well mastered. We hypothesize that all concepts sought on the web via the search engine can be considered as knowledge poorly or badly acquired by learners and deserve thus more attention and consideration both by the tutor for the pedagogical monitoring of learners on these concepts and from the designer of course, to restructure and more enrich the educational content which articulates these concepts identified beforehand in this analysis.","","978-1-4799-4233-6","10.1109/INTECH.2014.6927773","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927773","e-Learning;Search engine;track;Semantic indexing;Learner model","Ontologies;Semantics;Search engines;Electronic learning;Indexing;Semantic Web;Vocabulary","","","","19","IEEE","20 Oct 2014","","","IEEE","IEEE Conferences"
"Determining of compatible different attributes for online mentoring model","P. Nuankaew; P. Temdee","School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand; School of Information Technology, Mae Fah Luang University, Chiang Rai, Thailand","2014 4th International Conference on Wireless Communications, Vehicular Technology, Information Theory and Aerospace & Electronic Systems (VITAE)","23 Oct 2014","2014","","","1","5","Online mentoring is nowadays become popular because it can be used in various applications. Particularly in education area, the mentoring generally means the interactions between the teachers as the mentors and the students as the mentees. In order to work together successfully, this paper believes that not only some common attributes between the mentor and the mentee are required but also some compatible different attributes. This paper thus proposes the attributes for online monitoring model named compatible different attributes. There are 2 sets of compatible different attributes including mentee and mentor attributes. Both sets are represented in different size of matrix elements. The objective of this paper is thus to study to which extent the proposed compatible different attributes can be used for online mentoring model. The empirical study is conducted with 74 lectures and 588 students from Faculty of Information and Technology, Rajabhat Maha Sarakham University. They are asked to complete the survey questionnaire to obtain the satisfaction value. Consequently, the satisfaction results show that the proposed attributes can reasonably be used for online monitoring model.","","978-1-4799-4624-2","10.1109/VITAE.2014.6934434","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6934434","Mentoring Model;Online Modeling;Teacher Model;Student Model","Employee welfare;Mathematical model;Educational institutions;Equations;Monitoring;Lead","","8","","19","IEEE","23 Oct 2014","","","IEEE","IEEE Conferences"
"User modeling with limited data: Application to stakeholder-driven watershed design","S. Mukhopadhyay; V. B. Singh; M. Babbar-Sebens","Computer & Information Science, Indiana University Purdue University Indianapolis, Indianapolis, IN, USA; Computer & Information Science, Indiana University Purdue University Indianapolis, Indianapolis, IN, USA; School of Civil and Construction Engineering, Oregon State University, Corvalis, OR, USA","2014 IEEE International Conference on Systems, Man, and Cybernetics (SMC)","4 Dec 2014","2014","","","3855","3860","We have developed a web-based, interactive, watershed planning system called WRESTORE (Watershed Restoration Using Spatio-Temporal Optimization of Resources) (http://wrestore.iupui.edu) that allows stake-holder communities to participate in a democratic, collaborative form of optimization process for designing best management practices (BMPs) on their landscape, while also optimizing based on subjective, qualitative landowners' criteria beyond the usual socio-economic, physical, and ecological criteria. This system utilizes multiple advanced computational approaches including the SWAT (Soil and Water Assessment Tool) hydrologic model for watershed simulations, interactive genetic algorithms and reinforcement-based machine learning algorithms for search and optimization, and deep learning artificial neural networks for user modeling, within an encompassing human-computer interaction framework. A substantial user study of the WRESTORE system was conducted recently involving multiple real stakeholders varying from consultants, government officials, watershed alliance members, etc., with the objective of gaining insight about WRESTORE'S usability and utility. In particular focus was the user modeling component that develops a computational model of a user's preferences and criteria, based on real-time user-provided ratings for a subset of possible designs (similar to the idea of user profiling commonly done for human-computer interaction systems). The user model constructed based on the real user's personalized feedbacks can then be used to influence the automated search and optimization for BMP alternatives in WRESTORE. In this paper, we describe the methods developed for user modeling for interactive optimization, and the experimental set-up as well as results with real user studies. These results clearly demonstrate that development of user models for such personalized, interactive optimization is both feasible and valuable for developing community-based computational water sustainability solutions.","1062-922X","978-1-4799-3840-7","10.1109/SMC.2014.6974532","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6974532","user modeling;interactive optimization;machine learning;sustainability design;decision support system","Artificial neural networks;Computational modeling;Data models;Optimization;Mathematical model;Adaptation models","","","","21","IEEE","4 Dec 2014","","","IEEE","IEEE Conferences"
"A Human-centric User Model for Intelligent Healthcare","Y. Zhu; J. Shen; Y. Li","Software School Fudan University, Shanghai, China; School of Computer Science Fudan University, Shanghai, China; Software School Fudan University, Shanghai, China","2014 IEEE 11th International Conference on e-Business Engineering","11 Dec 2014","2014","","","13","18","Making use of IT technologies, various intelligent healthcare systems are designed which facilitate disease diagnosis, health maintenance and real-time monitoring. To detect and prevent the disease intelligently, user modelling of these system focuses on medical-related user data. However a communication gap between patients and doctors is still so large that yielding amounts of medical complains and accidents. This paper proposes a human-centric semantic user model and developed a novel semantic learning and reasoning approach using a combination of rule-based and case-based reasoning techniques to lessen the communication gap between doctors and patients by focusing on the dedicated user model for the purpose of providing assistants for healthcare decision making.","","978-1-4799-6563-2","10.1109/ICEBE.2014.15","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6982053","Intelligent Healthcare;semantic;human-centric;user modelling;semantic learning","Context;Semantics;Diseases;Artificial intelligence;Cognition;Medical diagnostic imaging","","1","","12","IEEE","11 Dec 2014","","","IEEE","IEEE Conferences"
"Mining Relevant Examples for Learning in ITS Student Models","R. Chaturvedi; C. I. Ezeife","School of Computer Science, University of Windsor, Windsor, Canada; School of Computer Science, University of Windsor, Windsor, Canada","2014 IEEE International Conference on Computer and Information Technology","15 Dec 2014","2014","","","743","750","An Intelligent Tutoring System (ITS) provides direct customized instruction or feedback to students while they perform a task in a tutoring system without the intervention of a human. One of the main functions of an ITS system is to present its students with course materials that are most appropriate to their current knowledge of domain concepts, example being one of the course materials. ITS systems typically compare and analyze student model (SM) components for student's current knowledge of concepts (main topics, e.g. Scanf in C programming) that are required to understand the next example (e.g. Codes for scanf) suitable for learning a task (e.g. Write C code to read 2 integers from the keyboard). Existing systems such as NavEx and PADS perform an exhaustive matching of student knowledge level with all examples in the database. This research proposes a task-based technique for managing and classifying examples for more effective retrieval of relevant examples for learning a task. We propose a system called EASK for translating task and example solutions into concepts for similarity matching, which is more readily available, easily extendible and adaptable to other domains. Examples and tasks are represented as vectors of weights computed with term frequency measure TFIDF that signify the importance of a concept for an example. Examples most similar to a task are found by using a classification method called k-NN, which finds the closeness between different objects such as examples and tasks using cosine similarity measure and selecting the k objects (examples) with highest similarity scores. As a by-product, k-NN also predicts the class label (difficulty level) of the task. Our proposed model achieves this prediction with 89% accuracy.","","978-1-4799-6239-6","10.1109/CIT.2014.31","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984744","adaptation;data mining;classification;example-based Learning;student model","Vectors;Computational modeling;Materials;Indexes;Analytical models;Adaptation models","","1","","8","IEEE","15 Dec 2014","","","IEEE","IEEE Conferences"
"Bijective soft set classification of student's learning styles","H. Mohamed; N. B. H. Ahmad; S. M. H. Shamsuddin","Universiti Teknologi Malaysia, Malaysia; Universiti Teknologi Malaysia, Skudai, Johor, MY; Universiti Teknologi Malaysia, Skudai, Johor, MY","2014 8th. Malaysian Software Engineering Conference (MySEC)","18 Dec 2014","2014","","","289","294","Adaptive learning systems require student model repository that store student's data in order to provide learning materials tailored to the student's characteristics. Student's learning style is one of the most crucial factors to be identified in order to update the student's profile. Hence, the need for a high accurate classifier that deals with the students data and generates suitable number of rules that can automatically identify student's learning style in adaptive learning environments is an important issue. In this paper, Bijective soft set algorithm is used in classifying students learning style based on Felder Silverman learning style model. The discernible matrix parameter reduction was used to generate attributes reducts, whereby rules were generated from these reducts. Experiments were carried out using simulated data with various attributes that represent student's characteristics according to the four dimensions of Felder Silverman model. The experiments revealed that Bijective soft set gives high classification accuracy with suitable number of rules. The algorithm was further verified with Rough Set and FURIA as a comparative analysis of the performance of the proposed model.","","978-1-4799-5439-1","10.1109/MySec.2014.6986031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6986031","Learning style;Felder Silverman model;classification;Bijective soft set;discernible matrix;parameter reduction","Accuracy;Visualization;Materials;Classification algorithms;Data mining;Abstracts;Adaptation models","","4","","25","IEEE","18 Dec 2014","","","IEEE","IEEE Conferences"
"Adaptive digital resource modelling for interactive system","D. Sawadogo; R. Champagnat; P. Estraillier","L3i Laboratory, University of La Rochelle, France; L3i Laboratory, University of La Rochelle, France; L3i Laboratory, University of La Rochelle, France","2014 International Conference on Control, Decision and Information Technologies (CoDIT)","29 Dec 2014","2014","","","663","668","The design of the digital resource is an expensive process that consumes time and money. By optimizing an adaptive process would reduce time for the designers and users. The increase in the production of digital data in these last few years has raised several issues regarding the management of heterogeneous and multiple source data in the user's environment. In this paper, we focus on adaptive digital resource modelling to assist users in the consolidated management of digital resources in an interactive and adaptive system. In this paper we propose an approach of digital resources modelling which will make the use of digital resources more adaptive. We introduce an adaptive resource model which includes LOM (Learning Object Metadata) metadata, manipulation rules and operators. This model allows an automatic adaptation to user's profiles and user's contexts. An experimental implementation called PRISE (Personal Interactive research Smart Environment) is carried out in our laboratory. PRISE is an interactive and adaptive system to assist researchers in using and managing their digital resources efficiently. PRISE architecture is based on three essential parts of the system : the user model, the process model and the resource model. Our aim is to maintain a consistency in terms of interaction between the users and the digital resources.","","978-1-4799-6773-5","10.1109/CoDIT.2014.6996975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6996975","Adaptive resource;user profile;digital resource consolidation;interactive system;adaptive system","Adaptation models;Adaptive systems;Resource management;Context;Production;Context modeling;Process control","","3","","24","IEEE","29 Dec 2014","","","IEEE","IEEE Conferences"
"Review on constraint based modelling in intelligent learning environment","R. Thinakaran; R. Ali","Computing Department, Nilai University, Nilai, Negeri Sembilan, Malaysia; Universiti Teknologi Malaysia, Skudai, Johor, MY","2014 4th International Conference on Engineering Technology and Technopreneuship (ICE2T)","12 Jan 2015","2014","","","32","36","Student model is a component of great importance in the intelligent learning environment. A number of student models have been proposed more than three decades ago and one of them is the Constraint Based Model. In this paper we explore how a Constraint Based Model has been applied in various intelligent learning environments. Additionally, this paper reviews the students characteristics considered in each model to make the model adaptive and personalized.","","978-1-4799-4621-1","10.1109/ICE2T.2014.7006214","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7006214","e-learning;student model;constraint based model;student characteristics","Artificial intelligence;Adaptation models;Computational modeling;Computers;Education;Computer architecture;Programming","","2","","26","IEEE","12 Jan 2015","","","IEEE","IEEE Conferences"
"Using Semantic Web Technologies in a Web Based System for Personalized Learning AI Course","F. Grivokostopoulou; I. Perikos; I. Hatzilygeroudis","Department of Computer Engineering & Informatics, School of Engineering, Patras, Hellas (Greece); Department of Computer Engineering & Informatics, School of Engineering, Patras, Hellas (Greece); Department of Computer Engineering & Informatics, School of Engineering, Patras, Hellas (Greece)","2014 IEEE Sixth International Conference on Technology for Education","15 Jan 2015","2014","","","257","260","Utilization of semantic web technologies in educational systems is rapidly expanded, bringing new and more efficient teaching and learning capabilities. Semantic Web Based Educational Systems (SWBEs) rely on semantic web technologies and are proved to be more intelligent and personalized to the students learning needs. In this paper, we present a semantic web based adaptive educational system that is developed to assist the students in learning the challenging subjects of the Artificial Intelligence course. The system utilizes ontologies to represent the domain of the course's curriculum and the student model. Also, the Semantic Web Rule Language (SWRL) rules are used for making decisions on the learning activities to propose to the student according to his/her profile and knowledge level. The evaluation results indicate quite promising performance regarding the system's learning capabilities and functionality.","","978-1-4799-6489-5","10.1109/T4E.2014.36","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7009584","Semantic Web-based Educational System;SWRL Rules;Artificial Intelligence Curriculum;Student Adaptation","Ontologies;Semantic Web;Adaptation models;Educational institutions;Conferences;Semantics","","12","","17","IEEE","15 Jan 2015","","","IEEE","IEEE Conferences"
